"restaurant_id","location_type","cuisine_type","delivery","average_daily_walk_ins","monthly_marketing_spend","seating_capacity","avg_check","star_rating","years_open","competitors_nearby","website_visits","weekly_reservations","labor_hours","number_of_tables","table_turnover","food_cost_percent","avg_ticket_time","catering_inquiries","monthly_revenue"
593,"suburban","american","no",22,543,55,31.28,3,6.3,1,368,32,1308,31,0.85,0.297,16.4,6,77127
672,"suburban","american","yes",124,3745,104,32.36,4,5.5,9,1162,168,1736,45,1.56,0.33,19.4,16,111474
101,"tourist","mexican","no",36,1887,40,47.87,3,0.5,4,600,79,1190,20,1.21,0.233,15.6,11,103958
606,"tourist","italian","yes",81,3091,119,73.26,2.5,9,5,877,101,1777,54,0.98,0.329,19.7,12,148558
2425,"downtown","asian","yes",49,1236,29,103.72,3,4.7,2,531,67,1203,22,0.8,0.261,21,11,119607
1953,"suburban","italian","yes",73,2524,99,48.27,4,13.6,2,826,108,1743,37,1.32,0.322,17.4,13,112158
4951,"suburban","american","yes",56,961,80,29.96,3.5,10.9,5,564,95,1554,38,0.8,0.309,12.3,16,94722
2238,"suburban","american","no",65,1519,80,36.73,4,4.3,5,671,93,1417,43,1.32,0.313,21.4,8,94974
4571,"suburban","mexican","yes",72,2009,81,22.86,3.5,10,6,717,97,1516,37,1.63,0.23,19.8,15,93449
3954,"downtown","asian","no",120,4110,117,92.15,4.5,11.3,4,1190,151,2012,55,1.38,0.279,18.3,26,129879
3828,"downtown","asian","yes",82,2096,59,99.12,3.5,0.5,7,744,115,1469,30,1.57,0.301,20.4,24,121438
3588,"suburban","american","yes",88,1751,57,47.4,4,5.2,5,785,147,1408,34,1.47,0.294,16.2,15,112011
4003,"tourist","asian","yes",46,687,79,42.32,3,5.9,2,454,100,1482,33,1.05,0.288,20.8,5,131920
3718,"tourist","asian","no",93,2389,70,66.88,3.5,1.6,8,849,131,1616,37,1.36,0.271,21.1,19,130935
2681,"suburban","american","yes",90,3348,91,23.98,4.5,0.5,8,987,165,1754,43,1.59,0.303,17.6,20,109442
3268,"tourist","asian","yes",86,2268,99,58.92,4,9.3,7,764,141,1670,47,1.45,0.267,15.6,21,142565
4904,"downtown","italian","yes",71,2700,107,107.48,3.5,10.3,5,773,97,1588,48,1,0.31,18.3,25,119746
557,"downtown","mexican","no",46,1633,79,28.58,3.5,4.8,5,608,56,1496,34,1.49,0.289,15.2,19,87050
1502,"tourist","mexican","yes",50,1994,74,21.77,3,3.3,6,611,66,1334,34,1.26,0.293,20,15,108931
2915,"tourist","asian","yes",91,1995,61,53.33,3.5,5,4,781,128,1507,39,1.24,0.295,22,14,147736
3674,"tourist","italian","yes",111,3136,67,199.41,4.5,0.5,7,1076,164,1763,35,1.86,0.321,22.1,27,175999
3538,"tourist","american","yes",97,2437,86,65.13,4,3.8,7,889,128,1536,41,1.36,0.3,21.5,17,151547
4060,"suburban","american","yes",87,2665,84,24.59,4.5,8.1,5,830,126,1647,38,1.52,0.261,19.7,15,113816
456,"downtown","asian","no",64,2223,70,59.93,3.5,4.6,2,714,74,1323,37,0.96,0.263,14.4,22,118137
521,"downtown","american","yes",103,2948,89,93.77,3.5,10.4,5,963,142,1677,38,1.39,0.301,20.8,23,136784
4143,"suburban","asian","yes",16,606,106,34.69,3,8.1,1,337,54,1452,42,0.8,0.293,11.6,10,98608
3561,"suburban","american","yes",85,2562,147,26.94,2.5,7.8,6,755,112,1993,57,1.09,0.281,13.9,14,110268
3621,"downtown","mexican","no",101,3447,109,37.78,4,9.7,6,1045,140,1877,45,1.47,0.218,27.6,12,119189
2144,"downtown","american","no",100,2945,85,48.85,3.5,0.5,8,892,136,1780,41,1.15,0.252,25,20,109419
4308,"downtown","mexican","no",131,3675,84,39.71,3.5,6.5,10,1129,170,1727,44,1.11,0.265,15,32,110314
3742,"suburban","asian","no",28,500,122,48.08,3.5,5.2,2,469,56,1752,46,1.13,0.308,10.7,12,96648
4824,"downtown","mexican","no",109,2084,128,51.24,4,15.7,6,925,144,2092,54,1.38,0.296,19,13,115944
1215,"tourist","mexican","no",154,5535,159,77.96,4.5,11.6,10,1457,168,2311,71,1.58,0.289,21.9,21,155129
3287,"tourist","mexican","no",34,2778,97,26.77,3.5,1.2,4,673,83,1437,42,0.8,0.274,15.7,12,106903
2193,"tourist","italian","yes",133,3770,94,96.93,4,4,5,1089,164,1839,46,1.63,0.315,18.2,26,173871
2438,"tourist","italian","no",93,2788,123,55.34,3.5,6.2,5,863,126,1996,54,1.72,0.296,20.8,13,140628
630,"suburban","asian","no",79,1511,77,23.81,3,8,2,694,69,1435,42,0.8,0.319,18.3,8,96282
62,"tourist","american","yes",64,1725,20,38.86,3,0.5,5,656,94,973,16,1.24,0.292,23.8,12,111960
2675,"suburban","mexican","no",98,3526,83,42.28,4.5,9.1,8,1070,129,1726,37,1.12,0.215,21,15,93823
3936,"suburban","american","yes",103,3479,106,62.02,4,1,4,1032,160,1801,46,1.46,0.289,16.7,21,115551
2455,"suburban","american","yes",48,1582,109,31.64,3.5,13.9,4,640,81,1637,43,1.01,0.316,11,8,86201
1724,"downtown","mexican","no",65,2024,41,41.99,3,6.5,6,700,93,1353,30,0.87,0.243,20.1,15,104018
3273,"tourist","italian","yes",122,2094,31,164.05,3.5,8.5,6,961,148,1418,23,1.93,0.365,23.9,28,182201
2640,"downtown","mexican","yes",96,2346,91,180.05,3.5,3.5,7,850,133,1699,44,1.55,0.241,20.4,27,124712
2579,"downtown","mexican","no",94,2028,93,90.32,3,6.1,7,813,132,1605,44,1.12,0.223,18.6,27,112065
3286,"suburban","italian","yes",37,500,87,27.31,2.5,10.7,4,365,41,1550,44,0.8,0.28,12.3,5,91574
3862,"tourist","italian","yes",169,3869,128,114.8,4.5,9.6,9,1204,216,2027,54,2.05,0.32,22.5,29,185447
3568,"downtown","italian","yes",145,3810,88,244.95,4,10.3,9,1276,188,2107,46,1.7,0.301,25.5,29,147334
2907,"tourist","mexican","yes",152,4580,64,136.91,4,10.2,8,1326,180,1778,32,1.83,0.291,22.2,25,163210
2185,"downtown","asian","yes",83,3465,86,440.19,4,10.5,7,964,98,1640,38,1.31,0.31,29.7,35,66375
4317,"downtown","asian","no",24,1478,72,51.62,4,5.8,0,526,75,1328,31,1.12,0.299,16.6,6,106022
4871,"suburban","mexican","no",44,1421,121,42.98,3,8.7,3,577,74,1776,46,0.82,0.267,14.5,10,87571
4062,"tourist","italian","yes",109,3788,91,224.99,4,3.1,9,1085,149,1825,40,1.66,0.335,27.5,29,181260
4607,"suburban","asian","no",127,4561,115,45.44,3.5,0.5,13,1214,130,1816,51,1.77,0.288,21.3,8,113456
1061,"suburban","american","no",43,2041,97,30.17,3,12.4,5,701,69,1522,37,0.8,0.295,14.8,9,87840
2069,"tourist","asian","yes",107,4269,78,84.54,4,5.8,4,1127,144,1691,42,1.33,0.296,20.8,22,167076
1043,"suburban","italian","yes",89,2895,108,194.26,3.5,8,5,898,115,1816,53,0.99,0.296,21.7,27,120924
1473,"downtown","american","yes",79,2440,81,62.35,4.5,5.8,8,838,108,1670,39,1.55,0.303,18.8,12,119042
2121,"downtown","mexican","yes",26,1251,63,56.3,2.5,2,1,426,47,1309,25,1.01,0.236,13.4,17,93563
1699,"suburban","american","yes",83,3951,154,22.9,3,18.6,3,985,108,1977,68,1.34,0.296,16.6,18,98512
695,"tourist","italian","yes",48,1578,61,101.82,3,2.5,5,591,67,1244,31,0.96,0.314,16.8,11,145084
2025,"downtown","american","no",128,4678,90,245.46,4,0.5,9,1297,162,1867,40,1.62,0.332,23.7,27,121348
3297,"suburban","asian","yes",110,4470,123,46.31,4.5,12.8,8,1198,154,1950,55,1.42,0.248,21.3,16,122973
833,"tourist","american","yes",82,2595,98,40.87,3.5,2,9,809,104,1626,44,1.05,0.326,16.6,14,127784
1462,"suburban","mexican","yes",79,2237,85,22.27,4,7.9,4,827,96,1569,35,1.55,0.286,17.8,18,92306
2282,"suburban","mexican","yes",50,1269,47,21.69,3,1.8,5,511,74,1127,27,1.18,0.2,19.7,10,81742
4454,"suburban","asian","yes",107,2724,82,26.35,4,12.8,6,910,124,1796,45,0.93,0.294,14.3,13,109330
1920,"downtown","american","yes",146,4935,81,45.2,3.5,11,8,1321,169,1658,48,1.61,0.281,19.7,19,143963
3397,"suburban","italian","yes",92,2404,136,71.07,3.5,11.6,5,828,114,1853,62,1.2,0.302,15.1,18,134940
724,"downtown","american","yes",149,4204,112,121.43,4,17.9,9,1254,194,1941,51,2.09,0.284,24.1,27,128742
4337,"suburban","italian","no",77,1531,95,50.43,3.5,10.1,3,641,101,1621,43,1.43,0.35,16.3,16,112317
2413,"downtown","american","yes",51,500,67,82.98,3.5,3.9,4,461,86,1184,30,1.11,0.321,18.6,13,107288
3724,"downtown","american","yes",58,2054,84,61.27,3.5,0.5,5,650,103,1550,37,0.86,0.292,16.6,18,116860
3069,"tourist","asian","yes",76,3188,79,23.79,2.5,6,2,857,74,1483,36,0.8,0.222,15.7,20,121412
1131,"tourist","asian","no",200,4297,146,142.58,4.5,10.6,11,1454,227,2502,60,1.63,0.275,22.5,30,176027
3670,"tourist","italian","no",74,1371,81,58.68,4,7.8,8,652,127,1453,40,1.42,0.347,14.3,15,130518
3562,"tourist","mexican","yes",96,3032,92,77.37,4,10.5,9,963,138,1782,47,1.96,0.276,21.6,19,141647
2852,"suburban","american","yes",59,1832,64,28.57,3,10,7,666,99,1294,34,0.8,0.247,17.5,13,99334
1072,"tourist","mexican","no",132,3129,115,55.41,3.5,11.7,10,1081,187,1998,46,1.54,0.245,19.7,27,131472
3484,"tourist","mexican","no",83,3621,66,65.24,3,1.8,3,923,130,1287,30,1.03,0.258,23.6,20,129746
1130,"tourist","mexican","yes",132,2839,71,34.2,4.5,11.9,11,1058,173,1656,33,1.77,0.26,17.8,21,138181
2446,"suburban","mexican","yes",186,4233,122,26.08,2.5,1.4,9,1346,206,2163,58,1.41,0.255,21.8,33,127548
3823,"downtown","mexican","no",66,3325,100,123.52,3.5,11.3,5,935,106,1588,47,1.09,0.247,19.8,20,103635
2033,"suburban","american","no",57,2024,78,39.55,2.5,3.8,6,663,45,1378,31,1.06,0.321,18.4,8,80251
1713,"tourist","italian","yes",97,4128,96,96.69,4,2.4,8,1046,126,1818,44,1.56,0.298,16.5,15,165869
2362,"suburban","italian","no",23,996,46,55.77,4,4.4,2,429,82,1154,21,0.83,0.307,17.8,10,91451
1853,"suburban","asian","no",15,899,93,41.65,3.5,4.8,0,388,43,1333,40,0.83,0.294,13.4,5,88787
4413,"suburban","american","no",106,1874,68,52.11,3,5.2,7,834,116,1630,39,1.4,0.291,18.4,23,92388
3218,"tourist","italian","yes",37,500,64,48.86,3.5,4.8,6,434,82,1379,29,1.12,0.351,15.5,18,134117
1198,"tourist","american","no",119,3507,114,104.08,3.5,10.6,5,1089,162,1932,48,1.54,0.291,17.9,25,159429
3260,"downtown","american","yes",92,2175,98,148.5,3.5,5.9,3,820,116,1750,42,0.8,0.324,23.4,27,127555
711,"tourist","italian","yes",84,2560,85,72.9,3,0.5,5,820,111,1561,42,1.12,0.285,23.7,18,146486
4989,"suburban","mexican","yes",133,3242,154,40.38,4,21.3,10,1110,165,2427,63,1.47,0.245,21.9,15,109363
2563,"tourist","italian","yes",154,6116,100,144.54,4.5,12,11,1545,183,2153,50,1.89,0.342,20.1,27,185265
2162,"downtown","asian","yes",63,2349,65,247.35,2.5,0.5,3,708,77,1403,30,1.16,0.272,25.1,24,109669
28,"suburban","asian","yes",35,2210,66,23.95,3.5,9.7,5,617,66,1261,30,1.07,0.289,10.9,8,89427
3180,"downtown","american","yes",124,4468,64,61.12,4,3,9,1189,150,1440,36,1.64,0.281,24.6,24,135174
548,"tourist","italian","no",115,3552,107,60.28,5,10.4,7,1144,180,1836,50,1.7,0.307,21,24,148127
4020,"downtown","mexican","yes",78,2699,133,35.12,3,9.8,4,804,91,1658,55,0.8,0.26,15.6,18,123608
1025,"suburban","italian","yes",31,2996,129,96.23,3,9.6,3,593,63,1660,52,0.8,0.294,19.4,11,109963
1238,"suburban","italian","yes",56,500,77,28.68,3,5.9,1,466,58,1504,37,0.85,0.369,20.8,18,104769
3314,"tourist","italian","yes",139,3980,137,120.22,3.5,6.9,9,1249,191,2198,62,1.61,0.338,22,27,170486
1419,"downtown","american","no",91,1549,71,73.38,3.5,0.5,4,707,119,1438,37,1.21,0.328,19.5,18,123049
2114,"tourist","asian","yes",109,1713,82,76.58,3.5,5.1,6,771,141,1719,41,1.23,0.274,18.6,25,151358
3547,"downtown","american","yes",130,5252,138,57.78,2.5,6.6,7,1320,136,2023,58,1.18,0.296,20.9,16,144803
1400,"tourist","mexican","no",85,3120,110,36,2.5,9.8,5,829,106,1768,47,1.17,0.262,15.6,20,117738
911,"suburban","asian","yes",73,686,50,48.97,3.5,1.3,5,537,97,1344,29,1.29,0.353,20.5,16,99565
2004,"downtown","asian","yes",45,2132,51,47.83,3.5,1.2,5,657,62,1235,30,0.98,0.268,15.9,7,102587
4364,"tourist","american","no",15,899,91,29.9,3,6.5,3,406,40,1318,41,0.8,0.283,11.5,14,107705
4610,"suburban","american","yes",75,1432,36,33.67,4.5,0.5,2,649,102,1194,24,1.91,0.309,15.4,16,99269
3318,"downtown","american","yes",95,3784,150,48.72,4,17,4,1073,124,2024,64,1.39,0.29,18.1,30,129020
309,"downtown","american","yes",82,1494,100,66.23,4,4.4,6,711,126,1614,47,1.18,0.268,18.9,16,121005
3673,"suburban","american","yes",124,3022,104,26.6,4,8.6,8,1058,135,1754,49,1.45,0.312,22,23,112723
1418,"tourist","american","yes",79,1024,118,31.12,4.5,0.5,6,587,142,1625,55,1.51,0.271,19.3,18,134265
2378,"downtown","mexican","yes",92,4369,85,105.99,3.5,1.6,6,1120,123,1715,36,1.23,0.246,23,19,133369
1995,"downtown","asian","no",132,3585,101,135.66,3,2.2,5,1113,170,1814,48,0.98,0.283,24.7,28,132563
4200,"downtown","italian","yes",68,3074,100,65.57,3.5,9.5,6,829,102,1620,45,0.97,0.315,17.5,18,129557
928,"suburban","american","yes",15,500,83,34.01,2.5,6.6,3,287,38,1207,40,0.8,0.301,18,9,84062
1373,"tourist","mexican","no",163,4804,119,68.89,4,10.3,8,1468,201,2145,55,1.91,0.243,22.8,24,143373
1142,"suburban","italian","no",73,2487,83,94.34,4.5,3.7,3,867,125,1691,42,1.32,0.32,20.6,11,109587
571,"suburban","asian","yes",15,500,105,50.7,3.5,6.7,3,343,59,1409,46,1.16,0.33,15,10,89833
2318,"downtown","asian","no",65,2440,91,56,3,6,8,729,82,1548,40,1.17,0.301,16.6,20,106535
2601,"tourist","american","yes",73,2526,96,36.53,4,15.4,6,746,123,1686,43,1.34,0.274,16.2,14,119376
3134,"tourist","italian","yes",85,2473,106,69.18,4,7.9,7,866,111,1743,50,1.5,0.382,16.2,17,148721
768,"downtown","american","yes",104,2803,110,45.8,3,10.8,8,885,135,1726,51,1.01,0.283,20.8,15,121894
4446,"downtown","asian","no",71,2840,112,49.6,4,12.8,8,808,114,1683,50,1.22,0.351,19.5,18,108502
1711,"suburban","asian","no",106,2970,89,106.07,3,5,5,971,143,1736,42,1.53,0.316,17.8,17,112306
1020,"downtown","italian","yes",112,3782,68,137.67,3.5,11,8,1156,137,1718,37,1.38,0.306,16.8,25,140569
764,"downtown","american","no",115,3550,73,99.07,4,8.3,13,1118,142,1499,36,1.73,0.244,23.7,30,109714
3071,"suburban","mexican","yes",79,2336,79,45.09,3,1.3,7,747,89,1606,35,1.25,0.232,20.4,16,97176
4333,"downtown","american","no",83,1487,133,90.45,4,18.2,7,733,129,2007,56,0.85,0.311,15.3,18,108285
1333,"downtown","italian","yes",118,2694,140,178.59,4,13.4,9,1045,157,2065,59,1.32,0.297,21.9,27,138456
4693,"tourist","asian","yes",118,2495,112,67.08,4.5,13.7,8,951,169,2009,53,1.31,0.253,17.7,21,153800
2873,"suburban","mexican","yes",49,3200,113,20.62,3.5,6.8,4,780,85,1693,46,1.06,0.21,16.4,14,93839
1135,"tourist","asian","yes",67,1108,60,47.78,3,5.4,6,582,106,1455,33,1,0.24,20.1,15,129139
2409,"tourist","american","yes",27,500,49,35.59,3,1.4,3,355,67,1212,24,1.05,0.294,16.1,8,104407
3111,"downtown","italian","no",93,1830,89,140.37,4,1.3,4,732,141,1632,39,1.18,0.289,17.9,18,124751
1666,"suburban","mexican","yes",76,630,41,18.89,3,3.3,5,553,84,1210,21,0.97,0.23,20.2,17,87515
1366,"suburban","american","no",56,1371,106,32,3.5,12,5,616,78,1407,43,1.31,0.292,12.5,6,78668
4952,"downtown","italian","yes",56,3099,99,81.56,3,10.8,7,833,85,1511,45,0.94,0.309,18.1,16,121576
1509,"downtown","asian","no",49,1342,120,69.32,3.5,7.9,5,587,91,1663,46,0.88,0.276,20,19,118255
4796,"downtown","mexican","yes",74,2440,97,45.29,3,12.5,1,704,80,1522,41,0.86,0.24,18.1,15,119342
4096,"suburban","mexican","yes",123,2942,113,35.75,3.5,7.3,6,1051,131,1897,51,1.57,0.293,17.9,18,109365
2683,"suburban","mexican","no",53,1717,101,19.97,3.5,8.2,0,624,75,1537,44,0.95,0.217,15.5,16,93828
4805,"suburban","mexican","yes",86,1373,63,53.21,4,2.3,5,660,114,1532,34,1.58,0.193,15.5,13,98613
4905,"downtown","mexican","yes",94,2761,113,86.16,3.5,11.2,7,958,121,1889,48,1.16,0.233,20,20,135127
2423,"suburban","italian","yes",78,1608,111,54.02,3.5,11.8,7,622,102,1725,55,1.27,0.327,18.8,12,107452
1270,"suburban","asian","yes",60,1763,90,18,3.5,8.7,1,613,95,1690,45,1.59,0.262,14.7,14,99790
2489,"downtown","asian","yes",57,2986,134,123.72,3,1,3,784,54,1844,53,0.8,0.241,16.8,16,128025
2609,"downtown","asian","no",107,2189,112,96.34,3.5,6.7,4,870,124,1886,48,1.44,0.265,18.5,20,122288
2803,"downtown","mexican","yes",159,5490,111,281.59,4,9.4,7,1496,181,2105,51,1.62,0.268,27.4,38,140669
2458,"suburban","mexican","no",91,3515,122,36.27,3,7.7,8,986,105,1885,56,0.8,0.276,17.5,16,99540
3131,"downtown","mexican","yes",33,1743,23,96.56,3.5,0.5,5,618,68,1152,17,1.23,0.208,22.9,19,99664
2040,"tourist","american","yes",137,5231,87,59.46,5,8.1,11,1492,219,1865,42,2.66,0.309,21.4,19,152411
2942,"suburban","american","yes",74,2019,118,27.47,2.5,7.2,3,707,67,1765,54,0.8,0.264,17.6,16,104182
4711,"tourist","american","yes",96,3300,69,71.43,4,6.5,6,1002,144,1713,36,1.6,0.293,20.5,16,137363
1358,"suburban","american","no",72,1608,81,43.95,3,4.7,6,620,80,1487,40,0.88,0.273,18.9,18,84410
2643,"suburban","italian","no",38,500,80,89.77,4,11.2,3,439,76,1473,40,0.87,0.337,18.1,12,97327
2648,"tourist","asian","yes",133,5374,150,179.55,4.5,11.8,10,1351,194,2324,71,1.7,0.283,23.2,30,183323
4214,"tourist","american","yes",135,2567,92,61.59,3.5,9.7,6,1077,153,1796,42,1.4,0.315,18.7,21,155925
4022,"downtown","american","no",97,3146,87,121.03,3.5,6.7,4,928,117,1555,38,1.24,0.308,21.8,22,123722
4496,"suburban","american","yes",35,2855,94,78.38,3.5,2.6,8,636,65,1567,42,0.8,0.3,16,9,88417
694,"suburban","asian","yes",42,1497,83,24.48,3.5,8.9,5,533,80,1422,36,0.89,0.308,16.7,15,88636
621,"suburban","asian","yes",80,1781,88,205.27,4.5,6.3,3,727,134,1607,37,1.67,0.305,23.5,21,113558
918,"tourist","asian","yes",97,2424,66,83.55,4,4.9,8,860,143,1632,34,1.51,0.271,19,20,148977
3877,"downtown","mexican","yes",80,1159,68,102.02,3.5,6,7,704,85,1537,38,1.16,0.253,23.9,23,119430
348,"suburban","mexican","yes",50,1333,93,65.52,3,4.5,7,569,100,1397,40,0.9,0.248,20.1,12,94993
1074,"downtown","italian","yes",101,2991,61,95.57,4,1.1,8,983,134,1485,31,1.98,0.269,23.2,28,133386
2213,"downtown","asian","no",100,2244,104,101.74,3.5,4.1,6,794,110,1959,47,1.37,0.271,19.2,25,119504
375,"tourist","mexican","yes",81,2772,122,97.8,2.5,10.3,3,806,77,1982,52,0.8,0.234,21,21,146751
425,"downtown","mexican","yes",88,2518,146,77.98,3,11,5,778,104,1847,61,0.84,0.299,16.7,17,134837
2795,"downtown","asian","yes",90,2257,83,76.35,3.5,10,7,796,108,1579,41,1.1,0.276,21.5,25,125297
1423,"suburban","mexican","no",136,4274,120,18,3,9.4,9,1191,160,1734,54,1.43,0.272,17.2,23,101861
1577,"downtown","asian","no",15,500,36,42.35,3,6.6,0,310,41,966,22,0.8,0.295,18.7,15,89032
3099,"tourist","american","no",29,1503,85,18,3.5,5.6,0,487,65,1424,40,1.17,0.271,15.1,9,106556
49,"downtown","mexican","no",60,970,92,30.34,3.5,2.8,3,533,61,1558,41,0.8,0.213,16.2,13,95731
3941,"downtown","italian","no",58,1785,116,72.5,3,12.5,6,672,77,1833,55,0.8,0.336,20.2,15,106379
2819,"suburban","italian","yes",93,1395,67,71.94,3.5,3.7,6,745,100,1496,34,1.17,0.289,14.6,16,110670
3859,"tourist","mexican","yes",107,2926,52,124.81,3,8.9,10,925,140,1479,27,0.98,0.267,19.1,22,141370
3728,"downtown","mexican","yes",93,2125,62,113.11,3,5.3,4,844,106,1600,33,1.44,0.291,18.9,21,123186
3064,"tourist","mexican","yes",145,4196,114,47.06,3.5,12.8,8,1215,195,2068,52,1.48,0.253,19.6,22,154834
4011,"suburban","american","yes",101,2798,90,27.06,4.5,8.7,7,981,162,1796,42,1.64,0.327,13.3,21,113215
4026,"suburban","italian","yes",75,1906,89,126.57,3.5,8.4,3,683,105,1606,36,1.02,0.248,20.9,9,111773
941,"suburban","italian","no",54,1282,91,32.43,3.5,1.7,5,521,81,1553,42,0.8,0.298,14.9,9,98386
